"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"37.0","interacts with","property(X,dependence,cocaine) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)","false","interacts with","property(X,dependence,cocaine) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)"
"35.0","interacts with","property(X,dependence,methamphetamine) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)","false","interacts with","property(X,dependence,methamphetamine) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)"
"108.0","interacts with","property(X,desire,quit_smoking) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)","false","interacts with","property(X,desire,quit_smoking) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)"
"14.0","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)","false","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,urine_sample,Y,negative,n6_weeks)"
"28.0","interacts with","substance(Y) CTN-0047 (interacts with) property(X,hair_sample,Y,negative)","false","interacts with","substance(Y) CTN-0047 (interacts with) property(X,hair_sample,Y,negative)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,hair_sample,Y,negative)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,hair_sample,Y,negative)"
"23.0","interacts with","receive(X,minimal_screening) (interacts with) property(X,hair_sample,Y,negative)","false","interacts with","receive(X,minimal_screening) (interacts with) property(X,hair_sample,Y,negative)"
"23.0","interacts with","receive(X,minimal_screening) (interacts with) property(X,hair_sample,Y,negative)","false","interacts with","receive(X,minimal_screening) (interacts with) property(X,hair_sample,Y,negative)"
"19.0","interacts with","receive(X,telephone_boosters)  (interacts with) property(X,hair_sample,Y,negative)","false","interacts with","receive(X,telephone_boosters)  (interacts with) property(X,hair_sample,Y,negative)"
"37.0","interacts with","property(X,dependence,cocaine) (interacts with) property(X,urine_sample,cocaine,positive)","false","interacts with","property(X,dependence,cocaine) (interacts with) property(X,urine_sample,cocaine,positive)"
"145.0","interacts with","property(X,gender,male) (interacts with) property(X,urine_sample,cocaine,positive)","false","interacts with","property(X,gender,male) (interacts with) property(X,urine_sample,cocaine,positive)"
"96.0","interacts with","property(X,location,inpatient) (interacts with) property(X,urine_sample,cocaine,positive)","false","interacts with","property(X,location,inpatient) (interacts with) property(X,urine_sample,cocaine,positive)"
"12.0","interacts with","receive(X,buspirone) (interacts with) property(X,urine_sample,cocaine,positive)","false","interacts with","receive(X,buspirone) (interacts with) property(X,urine_sample,cocaine,positive)"
"10.0","interacts with","receive(X,placebo) (interacts with) property(X,urine_sample,cocaine,positive)","false","interacts with","receive(X,placebo) (interacts with) property(X,urine_sample,cocaine,positive)"
"8.0","interacts with","property(X,gender,female) (interacts with) property(X,urine_sample,cocaine,positive)","false","interacts with","property(X,gender,female) (interacts with) property(X,urine_sample,cocaine,positive)"
"5.0","interacts with","property(X,dependence,cannabis) CTN-0053 (interacts with) property(X,urine_sample,cannabinoids,positive)","false","interacts with","property(X,dependence,cannabis) CTN-0053 (interacts with) property(X,urine_sample,cannabinoids,positive)"
"1.0","interacts with","receive(X,contingency_management) (interacts with) property(X,urine_sample,cannabinoids,positive)","false","interacts with","receive(X,contingency_management) (interacts with) property(X,urine_sample,cannabinoids,positive)"
"167.0","interacts with","receive(X,n_acetylcysteine) (interacts with) property(X,urine_sample,cannabinoids,positive)","false","interacts with","receive(X,n_acetylcysteine) (interacts with) property(X,urine_sample,cannabinoids,positive)"
"165.0","interacts with","receive(X,medical_management) (interacts with) property(X,urine_sample,cannabinoids,positive)","false","interacts with","receive(X,medical_management) (interacts with) property(X,urine_sample,cannabinoids,positive)"
"131.0","interacts with","stimulant(Y) (interacts with) property(X,urine_sample,Y,negative)","false","interacts with","stimulant(Y) (interacts with) property(X,urine_sample,Y,negative)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative)"
"160.0","interacts with","receive(X,naltrexone) (interacts with) property(X,urine_sample,Y,negative)","false","interacts with","receive(X,naltrexone) (interacts with) property(X,urine_sample,Y,negative)"
"42.0","interacts with","receive(X,bupropion) (interacts with) property(X,urine_sample,Y,negative)","false","interacts with","receive(X,bupropion) (interacts with) property(X,urine_sample,Y,negative)"
"165.0","interacts with","receive(X,medical_management) (interacts with) property(X,urine_sample,Y,negative)","false","interacts with","receive(X,medical_management) (interacts with) property(X,urine_sample,Y,negative)"
"157.0","interacts with","property(X,diagnosis,hiv_infection) (interacts with) receive(X,treatment)","false","interacts with","property(X,diagnosis,hiv_infection) (interacts with) receive(X,treatment)"
"113.0","interacts with","property(X,diagnosis,sud) (interacts with) receive(X,treatment)","false","interacts with","property(X,diagnosis,sud) (interacts with) receive(X,treatment)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) receive(X,treatment)","false","interacts with","receive(X,buprenorphine) (interacts with) receive(X,treatment)"
"14.0","interacts with","receive(X,treatment_as_usual) (interacts with) receive(X,treatment)","false","interacts with","receive(X,treatment_as_usual) (interacts with) receive(X,treatment)"
"157.0","interacts with","property(X,diagnosis,hiv_infection) (interacts with) remain(X,in_treatment)","false","interacts with","property(X,diagnosis,hiv_infection) (interacts with) remain(X,in_treatment)"
"113.0","interacts with","property(X,diagnosis,sud) (interacts with) remain(X,in_treatment)","false","interacts with","property(X,diagnosis,sud) (interacts with) remain(X,in_treatment)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) remain(X,in_treatment)","false","interacts with","receive(X,buprenorphine) (interacts with) remain(X,in_treatment)"
"14.0","interacts with","receive(X,treatment_as_usual) (interacts with) remain(X,in_treatment)","false","interacts with","receive(X,treatment_as_usual) (interacts with) remain(X,in_treatment)"
"157.0","interacts with","property(X,diagnosis,hiv_infection) (interacts with) property(X,use,opioid)","false","interacts with","property(X,diagnosis,hiv_infection) (interacts with) property(X,use,opioid)"
"113.0","interacts with","property(X,diagnosis,sud) (interacts with) property(X,use,opioid)","false","interacts with","property(X,diagnosis,sud) (interacts with) property(X,use,opioid)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,use,opioid)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,use,opioid)"
"14.0","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,use,opioid)","false","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,use,opioid)"
"314.0","interacts with","property(X,diagnosis,hiv_infection) (interacts with) property(X,use,alcohol)","false","interacts with","property(X,diagnosis,hiv_infection) (interacts with) property(X,use,alcohol)"
"226.0","interacts with","property(X,diagnosis,sud) (interacts with) property(X,use,alcohol)","false","interacts with","property(X,diagnosis,sud) (interacts with) property(X,use,alcohol)"
"152.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,use,alcohol)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,use,alcohol)"
"28.0","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,use,alcohol)","false","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,use,alcohol)"
